0.81759,0.41143,0.2337
0.81763,0.4113,0.2337
0.81766,0.41118,0.2338
0.8177,0.41105,0.2338
0.81774,0.41092,0.2339
0.81777,0.4108,0.2339
0.81781,0.41067,0.2339
0.81785,0.41054,0.234
0.81789,0.41041,0.234
0.81793,0.41028,0.2341
0.81797,0.41015,0.2341
0.81802,0.41001,0.2341
0.81806,0.40988,0.2342
0.8181,0.40975,0.2342
0.81815,0.40961,0.2343
0.81819,0.40948,0.2343
0.81823,0.40935,0.2343
0.81828,0.40921,0.2344
0.81832,0.40908,0.2344
0.81837,0.40894,0.2345
0.81841,0.40881,0.2345
0.81846,0.40867,0.2346
0.81851,0.40853,0.2346
0.81855,0.4084,0.2347
0.8186,0.40826,0.2347
0.81866,0.40812,0.2348
0.8187,0.40798,0.2348
0.81875,0.40784,0.2349
0.8188,0.4077,0.2349
0.81885,0.40756,0.235
0.81891,0.40742,0.235
0.81896,0.40727,0.2351
0.81901,0.40713,0.2351
0.81906,0.40699,0.2352
0.81912,0.40685,0.2352
0.81917,0.40671,0.2353
0.81922,0.40656,0.2353
0.81928,0.40642,0.2354
0.81934,0.40627,0.2355
0.81939,0.40612,0.2355
0.81945,0.40598,0.2356
0.8195,0.40584,0.2356
0.81956,0.40569,0.2357
0.81962,0.40554,0.2357
0.81968,0.40539,0.2358
0.81974,0.40524,0.2359
0.8198,0.4051,0.2359
0.81986,0.40495,0.236
0.81992,0.4048,0.236
0.81998,0.40465,0.2361
0.82004,0.4045,0.2362
0.8201,0.40435,0.2362
0.82017,0.40419,0.2363
0.82023,0.40404,0.2363
0.8203,0.40389,0.2364
0.82036,0.40374,0.2365
0.82042,0.40359,0.2365
0.82049,0.40343,0.2366
0.82055,0.40328,0.2367
0.82062,0.40312,0.2367
0.82069,0.40296,0.2368
0.82075,0.40281,0.2369
0.82082,0.40266,0.2369
0.82089,0.4025,0.237
0.82096,0.40234,0.2371
0.82103,0.40218,0.2371
0.82109,0.40203,0.2372
0.82116,0.40187,0.2373
0.82123,0.40171,0.2374
0.8213,0.40156,0.2374
0.82138,0.40139,0.2375
0.82145,0.40123,0.2376
0.82152,0.40108,0.2376
0.82159,0.40091,0.2377
0.82166,0.40076,0.2378
0.82174,0.40059,0.2379
0.82182,0.40043,0.2379
0.82188,0.40027,0.238
0.82196,0.40011,0.2381
0.82204,0.39994,0.2382
0.82211,0.39978,0.2382
0.82219,0.39961,0.2383
0.82227,0.39945,0.2384
0.82234,0.39929,0.2385
0.82242,0.39912,0.2385
0.8225,0.39895,0.2386
0.82258,0.39879,0.2387
0.82266,0.39862,0.2388
0.82274,0.39845,0.2389
0.82282,0.39829,0.2389
0.8229,0.39812,0.239
0.82298,0.39796,0.2391
0.82306,0.39779,0.2392
0.82315,0.39761,0.2393
0.82322,0.39745,0.2393
0.82331,0.39728,0.2394
0.82339,0.39711,0.2395
0.82347,0.39694,0.2396
0.82356,0.39677,0.2397
0.82364,0.3966,0.2398
0.82373,0.39643,0.2398
0.82381,0.39626,0.2399
0.8239,0.39608,0.24
0.82399,0.39591,0.2401
0.82407,0.39574,0.2402
0.82416,0.39556,0.2403
0.82425,0.39539,0.2404
0.82434,0.39521,0.2405
0.82442,0.39504,0.2405
0.82451,0.39487,0.2406
0.8246,0.39469,0.2407
0.82469,0.39452,0.2408
0.82478,0.39434,0.2409
